#
# This file was downloaded on 2016-06-28 from:
# http://www.ons.gov.uk/ons/guide-method/classifications/current-standard-classifications/standard-industrial-classification/sicCode-2007-weighted-tables-with-percentages-sic03---sicCode-07.xls
#
# It was referenced on this page:
# http://www2.warwick.ac.uk/fac/soc/economics/staff/jcsmith/sicmapping/resources/proportional/
#
# Sic2003	Sic2007	Count %	Employment %	Turnover %
01.11	01.11	72%	73%	70%
01.11	01.12	0%	0%	0%
01.11	01.13	24%	23%	26%
01.11	01.14	0%	0%	0%
01.11	01.16	4%	4%	4%
01.11	01.19	0%	0%	0%
01.12	01.11	5%	3%	2%
01.12	01.13	76%	75%	76%
01.12	01.19	10%	12%	13%
01.12	01.25	0%	0%	0%
01.12	01.30	9%	9%	9%
01.12	02.10	0%	0%	0%
01.13	01.21	3%	2%	1%
01.13	01.22	0%	0%	0%
01.13	01.24	87%	88%	93%
01.13	01.25	9%	10%	6%
01.13	01.27	0%	0%	0%
01.13	02.30	0%	0%	0%
01.21	01.41	74%	71%	65%
01.21	01.42	26%	29%	35%
01.22	01.43	35%	33%	32%
01.22	01.45	65%	67%	68%
01.22	01.49	0%	0%	0%
01.23	01.46	100%	100%	100%
01.24	01.47	100%	100%	100%
01.25	01.44	1%	0%	0%
01.25	01.49	99%	98%	99%
01.25	03.21	0%	1%	1%
01.30	01.50	100%	100%	100%
01.41	01.61	9%	12%	13%
01.41	01.63	0%	1%	3%
01.41	01.64	0%	1%	22%
01.41	10.39	0%	0%	0%
01.41	81.30	91%	87%	62%
01.42	01.62	100%	100%	100%
01.50	01.70	100%	100%	100%
02.01	01.29	1%	1%	1%
02.01	02.10	93%	95%	94%
02.01	02.20	5%	4%	6%
02.02	02.40	100%	100%	100%
05.01	03.11	97%	97%	95%
05.01	03.12	3%	3%	5%
05.02	03.21	72%	77%	82%
05.02	03.22	28%	23%	18%
10.10	05.10	77%	97%	91%
10.10	19.20	23%	3%	9%
10.30	08.92	100%	100%	100%
11.10	06.10	91%	97%	90%
11.10	06.20	8%	3%	10%
11.10	09.10	1%	0%	0%
11.20	09.10	100%	100%	100%
13.10	07.10	100%	100%	100%
13.20	07.29	100%	100%	100%
14.11	08.11	100%	100%	100%
14.12	08.11	100%	100%	100%
14.13	08.11	100%	100%	100%
14.21	08.12	100%	100%	100%
14.22	08.12	100%	100%	100%
14.30	08.91	100%	100%	100%
14.40	08.93	88%	93%	97%
14.40	10.84	13%	7%	3%
14.50	08.99	82%	93%	14%
14.50	09.90	18%	7%	86%
15.11	10.11	100%	100%	100%
15.12	10.12	100%	100%	100%
15.13	10.13	76%	65%	72%
15.13	10.85	7%	26%	19%
15.13	10.89	17%	9%	9%
15.20	10.20	99%	98%	99%
15.20	10.85	1%	2%	1%
15.31	10.31	100%	100%	100%
15.32	10.32	100%	100%	100%
15.33	10.39	98%	77%	68%
15.33	10.85	0%	2%	1%
15.33	10.89	1%	20%	30%
15.41	10.41	100%	100%	100%
15.42	10.41	100%	100%	100%
15.43	10.42	100%	100%	100%
15.51	10.51	100%	100%	100%
15.52	10.52	100%	100%	100%
15.61	10.61	100%	100%	100%
15.62	10.62	71%	86%	95%
15.62	10.89	29%	14%	5%
15.71	10.91	100%	100%	100%
15.72	10.92	100%	100%	100%
15.81	10.71	100%	100%	100%
15.82	10.72	99%	99%	97%
15.82	10.85	1%	1%	3%
15.83	10.81	100%	100%	100%
15.84	10.82	100%	100%	100%
15.85	10.73	87%	36%	51%
15.85	10.85	13%	64%	49%
